date,time,model,logloss,top1,top3
17617,E,freq_indep,5.443283136798223,FALSE,FALSE
17618,M,freq_indep,4.249360668325788,FALSE,FALSE
17618,E,freq_indep,5.983306359406519,FALSE,FALSE
17619,M,freq_indep,5.472480735640528,FALSE,FALSE
17619,E,freq_indep,3.7965101183063017,FALSE,TRUE
17620,M,freq_indep,4.808111029984782,FALSE,FALSE
17620,E,freq_indep,5.634987996186466,FALSE,FALSE
17621,M,freq_indep,4.836480299968694,FALSE,FALSE
17621,E,freq_indep,4.68213122712422,FALSE,FALSE
17622,M,freq_indep,4.458987675810009,FALSE,FALSE
17622,E,freq_indep,3.7934271395147365,FALSE,TRUE
17623,M,freq_indep,4.997399943840672,FALSE,FALSE
17623,E,freq_indep,4.8704605681249715,FALSE,FALSE
17624,M,freq_indep,4.7163098882977135,FALSE,FALSE
17624,E,freq_indep,4.1241167205557705,FALSE,FALSE
17625,M,freq_indep,4.8283137373023015,FALSE,FALSE
17625,E,freq_indep,4.972587226458725,FALSE,FALSE
17626,M,freq_indep,5.6169442428492395,FALSE,FALSE
17626,E,freq_indep,4.497956101680942,FALSE,FALSE
17627,M,freq_indep,4.528727760347696,FALSE,FALSE
17627,E,freq_indep,4.436751534363128,FALSE,FALSE
17628,M,freq_indep,4.523762911352758,FALSE,FALSE
17628,E,freq_indep,4.143775854799453,FALSE,FALSE
17629,M,freq_indep,5.001226086650674,FALSE,FALSE
17629,E,freq_indep,4.515558027298405,FALSE,FALSE
17630,M,freq_indep,5.768320995793772,FALSE,FALSE
17630,E,freq_indep,4.763546618609729,FALSE,FALSE
17631,M,freq_indep,5.2053793708887675,FALSE,FALSE
17631,E,freq_indep,5.6353846641805605,FALSE,FALSE
17632,M,freq_indep,4.719093932306405,FALSE,FALSE
17632,E,freq_indep,4.0013993086417186,FALSE,FALSE
17633,M,freq_indep,4.56101509657714,FALSE,FALSE
17633,E,freq_indep,4.36034440111499,FALSE,FALSE
17634,M,freq_indep,4.743336653371095,FALSE,FALSE
17634,E,freq_indep,5.505476705417992,FALSE,FALSE
17635,M,freq_indep,4.966480204685305,FALSE,FALSE
17635,E,freq_indep,4.812329524858047,FALSE,FALSE
17636,M,freq_indep,4.694546489201663,FALSE,FALSE
17636,E,freq_indep,5.436483833931041,FALSE,FALSE
17637,M,freq_indep,5.031018725822876,FALSE,FALSE
17637,E,freq_indep,4.337871545262931,FALSE,FALSE
17638,M,freq_indep,5.100011597309828,FALSE,FALSE
17638,E,freq_indep,5.254162277137086,FALSE,FALSE
17692,M,freq_indep,3.8089326383048587,TRUE,TRUE
17692,E,freq_indep,4.88507207112091,FALSE,FALSE
17693,M,freq_indep,3.817956496389079,FALSE,FALSE
17693,E,freq_indep,5.27324372899592,FALSE,FALSE
17694,M,freq_indep,4.659895085677338,FALSE,FALSE
17694,E,freq_indep,4.564584905873013,FALSE,FALSE
17695,M,freq_indep,4.390325437488577,FALSE,FALSE
17695,E,freq_indep,4.102643365036796,FALSE,FALSE
17696,M,freq_indep,4.538184227874041,FALSE,FALSE
17696,E,freq_indep,5.008187857119776,FALSE,FALSE
17697,M,freq_indep,4.632352920581893,FALSE,FALSE
17697,E,freq_indep,4.249360668325788,FALSE,FALSE
17698,M,freq_indep,5.0670156275323635,FALSE,FALSE
17698,E,freq_indep,5.249337184326318,FALSE,FALSE
17699,M,freq_indep,4.489657298866247,FALSE,FALSE
17699,E,freq_indep,4.338107400739046,FALSE,FALSE
17700,M,freq_indep,5.124162372420475,FALSE,FALSE
17700,E,freq_indep,4.941840815626521,FALSE,FALSE
17701,M,freq_indep,4.641309232603964,FALSE,FALSE
17701,E,freq_indep,4.661511939921484,FALSE,FALSE
17702,M,freq_indep,4.1501020834534685,FALSE,FALSE
17702,E,freq_indep,5.025570820807369,FALSE,FALSE
17703,M,freq_indep,5.206932804746184,FALSE,FALSE
17703,E,freq_indep,4.177313387565026,FALSE,FALSE
17704,M,freq_indep,4.54063166485052,FALSE,FALSE
17704,E,freq_indep,4.278267400383029,FALSE,FALSE
17705,M,freq_indep,5.106118619083248,FALSE,FALSE
17705,E,freq_indep,4.923797062289294,FALSE,FALSE
17706,M,freq_indep,5.509557013359422,FALSE,FALSE
17706,E,freq_indep,4.528727760347696,FALSE,FALSE
17707,M,freq_indep,3.6635616461296463,TRUE,TRUE
