model,n,logloss,top1,top3
freq,1954,4.720046878784985,0.012282497441146366,0.03326509723643808
ewma,1954,4.83064326734122,0.0127942681678608,0.03326509723643808
blend,1954,4.752672790071624,0.013817809621289662,0.033776867963152504
markov,1954,4.792443912964794,NA,NA
