time,pair,prob,z,p_fdr
M,31,0.02120395327942497,2.9157517055357207,0.177416380373426
E,98,0.01473495058400718,3.3414088888256073,0.08335436880330087
E,31,0.01365678346810422,2.9157517055357207,0.177416380373426
M,98,0.01221922731356693,3.3414088888256073,0.08335436880330087
